path,source_class,linked_symbols,line_count,encoding,extraction_status,quality_flags
HUSDT.txt,PRIOR_ANALYSIS,,189,utf-8-sig,TEXT_AVAILABLE,
INXUSDT.txt,PRIOR_ANALYSIS,INXUSDT,190,utf-8-sig,TEXT_AVAILABLE,
JOEUSDT.txt,PRIOR_ANALYSIS,JOEUSDT,199,utf-8-sig,TEXT_AVAILABLE,
KOMAUSDT.txt,MIXED_SOURCE,KOMAUSDT,200,utf-8-sig,TEXT_AVAILABLE,
LAB تحليل.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
LAYERUSDT.txt,PRIOR_ANALYSIS,LAYERUSDT,190,utf-8-sig,TEXT_AVAILABLE,
MAGMAUSDT TOWNSUSDT.txt,PRIOR_ANALYSIS,MAGMAUSDT;TOWNSUSDT,775,utf-8-sig,TEXT_AVAILABLE,
MAGMAUSDT.txt,PRIOR_ANALYSIS,MAGMAUSDT,116,utf-8-sig,TEXT_AVAILABLE,
MMTUSDT.txt,MIXED_SOURCE,MMTUSDT,656,utf-8-sig,TEXT_AVAILABLE,
MOVEUSDT.txt,PRIOR_ANALYSIS,MOVEUSDT,190,utf-8-sig,TEXT_AVAILABLE,
NAORISUSDT.txt,PRIOR_ANALYSIS,NAORISUSDT,190,utf-8-sig,TEXT_AVAILABLE,
OLUSDT.txt,RULE_OR_HYPOTHESIS_NOTE,OLUSDT,196,utf-8-sig,TEXT_AVAILABLE,
OPNUSDT+MAGMAUSDT.txt,PRIOR_ANALYSIS,MAGMAUSDT;OPNUSDT,1180,utf-8-sig,TEXT_AVAILABLE,
OPNUSDT.txt,PRIOR_ANALYSIS,OPNUSDT;UTCOPNUSDT,149,utf-8-sig,TEXT_AVAILABLE,
PIPPINUSDT.txt,PRIOR_ANALYSIS,PIPPINUSDT,189,utf-8-sig,TEXT_AVAILABLE,
System Prompt-WPS Office.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
TRUSTUSDT.txt,PRIOR_ANALYSIS,TRUSTUSDT,177,utf-8-sig,TEXT_AVAILABLE,
backtest_reports_v321o/1.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/1.txt,PRIOR_ANALYSIS,0GUSDT;1000CHEEMSUSDT;1000RATSUSDT;1INCHUSDT;1MBABYDOGEUSDT;AAVEUSDT;ACXUSDT;AEROUSDT;AEVOUSDT;AIAUSDT;AIXBTUSDT;ALGOUSDT;ALLOUSDT;ALTUSDT;ANKRUSDT;API3USDT;APRUSDT;ARBUSDT;ARKMUSDT;ARPAUSDT;ARUSDT;ASRUSDT;ATOMUSDT;AUCTIONUSDT;AVNTUSDT;AXSUSDT;BANANAUSDT;BANKUSDT;BASUSDT;BCHUSDT;BIGTIMEUSDT;BLUAIUSDT;BLURUSDT;BNTUSDT;BOMEUSDT;BREVUSDT;BSVUSDT;BTCDOMUSDT;BTCUSDT;C98USDT;CAKEUSDT;CCUSDT;CFXUSDT;CHRUSDT;CHZUSDT;COMPUSDT;COOKIEUSDT;COSUSDT;CRVUSDT;CTKUSDT;CVXUSDT;CYBERUSDT;CYSUSDT;DASHUSDT;DEEPUSDT;DEGOUSDT;DENTUSDT;DEXEUSDT;DODOXUSDT;DOGEUSDT;DOGSUSDT;DOLOUSDT;DOTUSDT;EGLDUSDT;EIGENUSDT;ELSAUSDT;ENJUSDT;ETHFIUSDT;ETHUSDT;ETHWUSDT;FARTCOINUSDT;FIDAUSDT;FIGHTUSDT;FIOUSDT;GALAUSDT;GASUSDT;GIGGLEUSDT;GLMUSDT;GMTUSDT;GPSUSDT;GRTUSDT;HBARUSDT;HIVEUSDT;HOMEUSDT;HYPERUSDT;ICNTUSDT;IDOLUSDT;IMXUSDT;INITUSDT;INJUSDT;INUSDT;IPUSDT;IRUSDT;JASMYUSDT;JCTUSDT;JTOUSDT;KAVAUSDT;LABUSDT;LAYERUSDT;LINKUSDT;LITUSDT;LQTYUSDT;LUNA2USDT;MASKUSDT;MBOXUSDT;MEGAUSDT;MEMEUSDT;METISUSDT;METUSDT;MEWUSDT;MINAUSDT;MIRAUSDT;MITOUSDT;MLNUSDT;MONUSDT;MOODENGUSDT;MYXUSDT;NEARUSDT;NEIROUSDT;NFPUSDT;NIGHTUSDT;OGUSDT;ONDOUSDT;OPENUSDT;OPUSDT;ORDERUSDT;ORDIUSDT;OXTUSDT;PENDLEUSDT;PEOPLEUSDT;PHAUSDT;PIXELUSDT;POLUSDT;POLYXUSDT;POWERUSDT;PROVEUSDT;PUMPBTCUSDT;PUMPUSDT;PYTHUSDT;QTUMUSDT;RAVEUSDT;REDUSDT;RENDERUSDT;REZUSDT;ROBOUSDT;ROSEUSDT;RPLUSDT;RUNEUSDT;RVNUSDT;SAGAUSDT;SCRUSDT;SEIUSDT;SLPUSDT;SOMIUSDT;SONICUSDT;SPACEUSDT;SPKUSDT;SSVUSDT;STABLEUSDT;STEEMUSDT;STRKUSDT;SUNUSDT;SUSHIUSDT;SXTUSDT;SYNUSDT;TACUSDT;TAOUSDT;THEUSDT;TIAUSDT;TNSRUSDT;TONUSDT;TOWNSUSDT;TRBUSDT;TREEUSDT;TRIAUSDT;TRUMPUSDT;TRUUSDT;TSTUSDT;TURBOUSDT;TURTLEUSDT;TUTUSDT;TWTUSDT;UAIUSDT;UBUSDT;UMAUSDT;USDCUSDT;USTCUSDT;USUALUSDT;VANRYUSDT;VETUSDT;VICUSDT;VINEUSDT;VIRTUALUSDT;VTHOUSDT;WALUSDT;WAXPUSDT;WCTUSDT;WETUSDT;WIFUSDT;WLDUSDT;WOOUSDT;XAIUSDT;XANUSDT;XLMUSDT;XMRUSDT;XNYUSDT;XPINUSDT;XPLUSDT;XRPUSDT;XVGUSDT;YBUSDT;YFIUSDT;YGGUSDT;ZBTUSDT;ZECUSDT;ZENUSDT;ZEREBROUSDT;ZETAUSDT;ZILUSDT;ZKCUSDT;ZKJUSDT;ZKPUSDT;ZKUSDT;ZORAUSDT;ZROUSDT;ZRXUSDT,5602,utf-8-sig,TEXT_AVAILABLE,
backtest_reports_v321o/1111.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/2.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/4.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/أعطني جدولا مختصرًا يربط كل حالة OIبالتفسير البنيوي.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/أكمل يا جون المرحلة الثانية واشرح OI بكل الحالاتبالتفصيل.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/إعطائي نظام Score لتحديد أول بصمة مؤسسيةتلقائيا؟.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ابن لي الآن القالب النهائي الجاهز للاستخدام على أي عملة حول هذا النظام إلى جدول .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ابن لي مصفوفة قرار تربط المحركات التسعة .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/الإنذار المبكر الحقيقي الانفجار الكبير الفعلى في BSBUSDT.doc,BINARY_LEGACY_DOCUMENT,BSBUSDT,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
"backtest_reports_v321o/الاحترافي أنشئ لي classification matrix أكثر تفصيلا يشمل Reload, Bull Trap, Shor.doc",BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/الاحترافية .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/الانماط.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/السعر يصعد أو يثبت بقوة بينما الـ  .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/القاعدة الثالثة .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المجلد الثالثدمج القواعد الأربع داخل شجرة قرار واحدةكيف تحلل أي عملة خطوة بخ.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المجلد الثالثدمج القواعد الأربع ٢.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المجلد الثاني إلى القاعدة الثانية.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المجلد الرابعكتاب الحالات الستOShort SqueezeFresh Long Build-upAbsorpt.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المشروع.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/المواصفة الهندسية النهائية الكاملةجدول الأوزان + الشروط + التصنيف + العقوبات.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/النسخة النهائية الرقمية الكاملة + شروط كل بند.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/النسخة النهائية الرقمية الكاملة + ٢.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/النظام الكامل الاحترافي.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/النظام الكامل ١.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/انواع الارتفاعات .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/بروتوكول تحليلي من 5 طبقات.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/بناء نظام إنذار مبكر (Early Warning (Systemالهدف .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/بناء نموذج التقييم المبكر .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/تطوير الكود .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/جدول قرار سريع من نوع If .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/جدولا أوسع من 20 حالة يربط .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/خطه النظام (١).doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/خطه النظام.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/سؤال ممتاز. _ل-WPS Officeالمجلد الثالثدمج القواعد الأربع داخل شجرة قرار واحدة.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/شجرة قرارات عملية جدًا If.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/شرح القاعدة الثانية فقط،.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/قواعد مهمة تسلسل.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/قواعد.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/كتاب ميداني كامل في جدول واحد.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/لكل نمط على حدة - كيف يبدو زمنيا على 15 من البداية إلىالن.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/لوغاريتم + أوزان + فصل بين الانحياز والانحرافالصيغة العملية الأقوىلقياس شدة .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ما الفرق بين PDI المرتفع الصحي و PDIالمرتفع الفخ ؟.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ما هو Positional Divergence Index وكيف نحسبه مننفس البيانات؟.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/متقدم كامل بحث معدل.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/متقدم كامل بحث.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/مصفوفة قرار Decision Matrix تربط كل محرك بالقواعد2.الأربعنظام Score من 100.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/مصفوفة موسعة من 100 حالة شائعة.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/مفهوم، وهذه ملا-WPS Office.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ممتاز، هتذا بالض-WPS Office.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/ممتاز، هذا بالض-WPS Office.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/موجه الشات المدفوع.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/موجه رقم ٤ مع قواعد المجلدات.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/نسخة JSON Schema جاهزة للبرمجة.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/نسخة Ultra Pro أشد صرامة مع Scoring System داخلي2.من 100نسخة عربية فقط مصق.doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/نسخة production جاهزة .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/نظام نقاط من 100 لاكتشاف بصمة الحيتان قبل الانفجار 2 شجرة قرارات احترافية .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
backtest_reports_v321o/هل يمكنك بناء معادلة PDI رقمية مباشرة .doc,BINARY_LEGACY_DOCUMENT,,,,PENDING_SEPARATE_DERIVATIVE,SEMANTIC_CONTENT_NOT_INSPECTED
